set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,MultiPointVPN,DELETE,/networks/{serviceId},deleteNetwork,w,x,party-noun,summary:network,x,x,x,x,x,x,x,x,x
camara,MultiPointVPN,POST,/assessment,assessConnectionFeasibility,r,r,read-verb,opid:assess,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,GET,/network-access-devices,getNetworkAccessDevices,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,GET,/network-access-devices/{networkAccessDeviceId},getNetworkAccessDevice,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,POST,/reboot-requests,createRebootRequest,x,x,live-verb,opid:reboot,x,x,x,x,x,x,x,x,x
camara,NetworkAccessManagement,GET,/reboot-requests,getRebootRequests,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,GET,/reboot-requests/{rebootRequestId},getRebootRequest,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,PATCH,/reboot-requests/{rebootRequestId},updateRebootRequest,x,x,live-verb,opid:reboot,x,x,x,x,x,x,x,x,x
camara,NetworkAccessManagement,DELETE,/reboot-requests/{rebootRequestId},deleteRebootRequest,w,x,live-verb,opid:reboot,x,x,x,x,x,x,x,x,x
camara,NetworkAccessManagement,GET,/services,getServices,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,GET,/services/{serviceId},getService,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,GET,/trust-domains/capabilities,getTrustDomainCapabilities,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,POST,/trust-domains,createTrustDomain,w,x,floor,,x,x,x,x,x,x,x,x,w
camara,NetworkAccessManagement,GET,/trust-domains,getTrustDomains,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,GET,/trust-domains/{trustDomainId},getTrustDomain,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,PATCH,/trust-domains/{trustDomainId},updateTrustDomain,w,x,floor,,x,x,x,x,x,x,x,w,x
camara,NetworkAccessManagement,DELETE,/trust-domains/{trustDomainId},deleteTrustDomain,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,NetworkAccessManagement,POST,/trust-domains/{trustDomainId}/devices,createTrustDomainDevice,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,NetworkAccessManagement,GET,/trust-domains/{trustDomainId}/devices,getTrustDomainDevices,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,GET,/trust-domains/{trustDomainId}/devices/{deviceId},getTrustDomainDevice,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkAccessManagement,PATCH,/trust-domains/{trustDomainId}/devices/{deviceId},updateTrustDomainDevice,w,x,party-noun,summary:device,x,x,x,x,x,x,x,x,x
camara,NetworkAccessManagement,DELETE,/trust-domains/{trustDomainId}/devices/{deviceId},deleteTrustDomainDevice,w,x,party-noun,summary:device,x,x,x,x,x,x,x,x,x
camara,NetworkInsights,GET,/health-scores,getHealthScores,r,r,floor,,r,r,r,r,r,r,r,r,r
